Cluster 1,Center,x=86.000000, y=64.000000
Date,High,Low,
10/26/2015,88,61,7
10/31/2015,89,60,7
11/1/2015,86,59,7
11/20/2015,85,55,7
11/21/2015,87,57,7
11/22/2015,85,59,7
2/8/2016,88,53,7
2/9/2016,89,56,7
2/10/2016,88,61,7
2/11/2016,87,59,7
2/12/2016,85,56,7
2/15/2016,89,55,7
2/16/2016,90,58,7
2/25/2016,83,57,7
3/16/2016,87,57,7
4/5/2016,85,56,7
4/6/2016,88,59,7
4/17/2016,89,58,7
4/18/2016,89,59,7
4/19/2016,89,62,7
4/20/2016,87,60,7
6/3/2016,87,59,7
6/17/2016,84,60,7
7/9/2016,86,63,7
8/16/2016,86,63,7
8/17/2016,84,60,7
8/18/2016,83,61,7
9/18/2016,90,61,7
9/19/2016,86,63,7
9/24/2016,90,60,7
10/7/2016,91,60,7
10/8/2016,90,61,7
10/9/2016,91,61,7
10/19/2016,90,57,7
10/22/2016,85,60,7
11/3/2016,88,57,7
11/4/2016,83,58,7
11/8/2016,90,57,7
11/11/2016,87,61,7
11/13/2016,88,60,7
11/14/2016,88,61,7
3/8/2017,85,54,7
3/9/2017,87,57,7
3/13/2017,88,55,7
3/15/2017,85,57,7
3/29/2017,83,56,7
4/5/2017,86,57,7
4/21/2017,90,60,7
4/27/2017,85,60,7
4/30/2017,87,59,7
5/1/2017,85,60,7
5/2/2017,87,62,7
5/19/2017,88,60,7
5/21/2017,87,63,7
6/14/2017,85,62,7
6/15/2017,86,63,7
6/18/2017,86,62,7
